top - 14:14:31 up 57 min,  1 user,  load average: 0.02, 0.01, 0.00
Tasks: 201 total,   1 running, 193 sleeping,   7 stopped,   0 zombie
%Cpu(s):  0.0 us, 50.0 sy,  0.0 ni, 50.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15963.3 total,  14126.4 free,   1231.1 used,    899.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14732.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1212 4majkutb  39  19  632012  62596  19348 S   0.0   0.4   0:00.47 tracker+
   1264 4majkutb  20   0    7684    776      0 S   0.0   0.0   0:00.01 ssh-age+
   1281 4majkutb  20   0  394824  12184   5748 S   0.0   0.1   0:09.16 ibus-da+
   1282 4majkutb  20   0  311316   9864   7044 S   0.0   0.1   0:00.00 at-spi-+
   1286 4majkutb  20   0  310464  11296   6572 S   0.0   0.1   0:00.15 ibus-dc+
   1287 4majkutb  20   0  511736  36884  23976 S   0.0   0.2   0:01.54 ibus-ui+
   1288 4majkutb  20   0  345536  31936  17808 S   0.0   0.2   0:02.55 ibus-ex+
   1290 4majkutb  20   0  266888  24044  16616 S   0.0   0.1   0:00.26 ibus-x11
   1292 4majkutb  20   0  236692   8312   5828 S   0.0   0.1   0:00.16 ibus-po+
   1307 4majkutb  20   0   28432   4380   3928 S   0.0   0.0   0:00.04 dbus-da+
   1321 4majkutb  20   0  164460   9184   6408 S   0.0   0.1   0:00.36 at-spi2+
   1323 4majkutb  20   0  550488  20500  15672 S   0.0   0.1   0:00.10 xdg-des+
   1332 4majkutb  20   0  462876   9348   6576 S   0.0   0.1   0:00.02 xdg-doc+
   1335 4majkutb  20   0  239232   7788   5188 S   0.0   0.0   0:00.00 xdg-per+
   1345 root      20   0   11572   1836   1708 S   0.0   0.0   0:00.00 fusermo+
   1346 4majkutb  20   0  236620   7068   6436 S   0.0   0.0   0:03.28 ibus-en+
   1353 4majkutb  20   0  786740  48812  31040 S   0.0   0.3   0:00.49 xdg-des+
   1358 4majkutb  20   0  156452   5524   4864 S   0.0   0.0   0:00.00 dconf-s+
   1368 4majkutb  20   0  823644  40440  28220 S   0.0   0.2   0:01.22 mate-se+
   1369 4majkutb  20   0  363392  16476  10308 S   0.0   0.1   0:00.04 gvfs-ud+
   1377 4majkutb  20   0  235888   8444   5788 S   0.0   0.1   0:00.01 gvfs-mt+
   1381 4majkutb  20   0  236052  10356   5716 S   0.0   0.1   0:00.00 gvfs-go+
   1385 4majkutb  20   0  595356  42092  30916 S   0.0   0.3   0:00.20 goa-dae+
   1388 4majkutb  20   0  624764  49608  34664 S   0.0   0.3   0:05.73 marco
   1393 4majkutb  20   0  315104  12964   7848 S   0.0   0.1   0:00.01 goa-ide+
   1398 4majkutb  20   0  314952   9932   6796 S   0.0   0.1   0:00.09 gvfs-af+
   1411 4majkutb  20   0  236980   8616   5852 S   0.0   0.1   0:00.00 gvfs-gp+
   1417 4majkutb  20   0  629640  47284  33376 S   0.0   0.3   0:02.26 mate-pa+
   1432 4majkutb  20   0  412016  21452  16676 S   0.0   0.1   0:00.32 xdg-des+
   1443 4majkutb  20   0  780132  64272  49972 S   0.0   0.4   0:01.31 caja
   1457 4majkutb  20   0  492804  33336  23728 S   0.0   0.2   0:02.34 wnck-ap+
   1462 4majkutb  20   0  478104  42732  32404 S   0.0   0.3   0:00.21 mate-vo+
   1463 4majkutb  20   0  188608  17572  13704 S   0.0   0.1   0:00.03 polkit-+
   1464 4majkutb  20   0  236576   7232   4728 S   0.0   0.0   0:00.00 agent
   1479 4majkutb  20   0  352844  27380  17432 S   0.0   0.2   0:00.34 mate-sc+
   1493 4majkutb  20   0  510448  38836  27180 S   0.0   0.2   0:00.12 nm-appl+
   1498 4majkutb  20   0  782488  71152  55276 S   0.0   0.4   0:00.28 evoluti+
   1499 4majkutb  20   0  507004  30560  20272 S   0.0   0.2   0:00.21 mate-po+
   1557 4majkutb  20   0  612712  46968  36480 S   0.0   0.3   0:00.10 evoluti+
   1562 4majkutb  20   0  506800  33080  22752 S   0.0   0.2   0:00.31 notific+
   1563 4majkutb  20   0  746596  35912  26312 S   0.0   0.2   0:00.51 clock-a+
   1599 4majkutb  20   0  314152  10612   7488 S   0.0   0.1   0:00.01 gvfsd-t+
   1648 4majkutb  20   0  162476  10464   5780 S   0.0   0.1   0:00.01 gvfsd-m+
   1659 4majkutb  20   0  826200  32276  20884 S   0.0   0.2   0:00.05 evoluti+
   1698 4majkutb  20   0  672592  32160  24700 S   0.0   0.2   0:00.04 evoluti+
   1735 4majkutb  20   0  563928  52972  37060 S   0.0   0.3   0:17.48 mate-te+
   1769 4majkutb  20   0   19876   5180   3600 S   0.0   0.0   0:00.02 bash
   2848 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker+
